date,location,positive,tested,symptomatic,asymptomatic,sym_unknown,hosp_require,hosp_mild,hosp_severe,hosp_unknown,hosp_waiting,discharged,fatal,vaccinated_1st,vaccinated_2nd,vaccinated_3rd,vaccinated_4th,vaccinated_5th
2020-03-09,Domestic,472,7457,427,45,0,0,179,33,121,12,88,7,0,0,0,0,0
2020-03-09,Airport,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-03-09,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-03-10,Domestic,498,8771,446,52,0,0,196,31,120,17,89,9,0,0,0,0,0
2020-03-10,Airport,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-03-10,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-03-11,Domestic,552,9195,492,60,0,0,194,26,161,16,103,12,0,0,0,0,0
2020-03-11,Airport,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-03-11,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-03-12,Domestic,608,9376,542,62,0,0,229,29,166,15,108,15,0,0,0,0,0
2020-03-12,Airport,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-03-12,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-03-13,Domestic,659,11231,591,68,0,0,268,32,158,15,120,19,0,0,0,0,0
2020-03-13,Airport,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-03-13,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-03-14,Domestic,699,12090,629,69,1,0,292,35,161,14,129,21,0,0,0,0,0
2020-03-14,Airport,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-03-14,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-03-15,Domestic,762,12197,681,74,7,0,298,36,190,17,142,22,0,0,0,0,0
2020-03-15,Airport,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-03-15,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-03-16,Domestic,794,12239,702,74,18,0,300,41,194,20,149,24,0,0,0,0,0
2020-03-16,Airport,5,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-03-16,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-03-17,Domestic,809,12989,717,88,4,0,317,46,182,16,156,28,0,0,0,0,0
2020-03-17,Airport,5,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-03-17,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-03-18,Domestic,853,13192,758,92,3,0,337,46,187,14,176,29,0,0,0,0,0
2020-03-18,Airport,5,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-03-18,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-03-19,Domestic,892,14072,794,96,2,0,356,49,175,15,200,31,0,0,0,0,0
2020-03-19,Airport,7,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-03-19,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-03-20,Domestic,928,18015,829,97,2,0,373,50,182,14,212,33,0,0,0,0,0
2020-03-20,Airport,7,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-03-20,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-03-21,Domestic,981,18134,871,104,6,0,402,55,185,13,217,35,0,0,0,0,0
2020-03-21,Airport,11,1137,2,9,0,0,2,0,0,0,0,0,0,0,0,0,0
2020-03-21,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-03-22,Domestic,1015,18226,907,105,3,0,400,57,183,13,257,36,0,0,0,0,0
2020-03-22,Airport,16,1173,4,12,0,0,4,0,0,2,0,0,0,0,0,0,0
2020-03-22,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-03-23,Domestic,1057,18322,944,110,3,0,423,54,187,10,260,41,0,0,0,0,0
2020-03-23,Airport,17,1189,5,12,0,0,5,0,0,1,0,0,0,0,0,0,0
2020-03-23,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-03-24,Domestic,1095,22184,980,110,5,0,444,55,185,10,285,42,0,0,0,0,0
2020-03-24,Airport,18,1417,5,13,0,0,4,0,0,0,1,0,0,0,0,0,0
2020-03-24,Returnee,15,829,11,4,0,0,0,0,0,0,15,0,0,0,0,0,0
